Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
ACHE	ENSG00000087085	"Acetylcholinesterase (Cartwright blood group)"	P22303	"Evidence at protein level"	"Intracellular and membrane"	Enzyme		"Cluster 19: Skeletal muscle - Striated muscle contraction"	152.9	22.2	16.2		4708686.5		
ACIN1	ENSG00000100813	"Apoptotic chromatin condensation inducer 1"	Q9UKV3	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 68: Non-specific - Basic cellular processes"	50.8	132.5	17.1	42870083.1		medium	medium
ACKR1	ENSG00000213088	"Atypical chemokine receptor 1 (Duffy blood group)"	Q16570	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	62.6	22.1	7.8			"not detected"	"not detected"
ACKR3	ENSG00000144476	"Atypical chemokine receptor 3"	P25106	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 14: Adipose tissue - Angiogenesis"	35.5	0.2	0.0			low	low
ACLY	ENSG00000131473	"ATP citrate lyase"	P53396	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 14: Adipose tissue - Angiogenesis"	14.6	53.4	4.9	13408573.5	7499984.7	"not detected"	"not detected"
ACO1	ENSG00000122729	"Aconitase 1"	P21399	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 76: Non-specific - Metabolism"	23.7	26.3	0.1	35527536.8	37332081.7	low	low
ACO2	ENSG00000100412	"Aconitase 2"	Q99798	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 52: Non-specific - Cellular respiration"	618.6	79.4	4.1	2114923583.5	1134968863.5	medium	medium
ACOT1	ENSG00000184227	"Acyl-CoA thioesterase 1"	Q86TX2	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 16: Liver & Kidney - Metabolism"	18.5	0.8	0.0		2444501.8	"not detected"	"not detected"
ACOT11	ENSG00000162390	"Acyl-CoA thioesterase 11"	Q8WXI4	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	8.3	0.5	0.0	3758963.9	1733968.5	low	low
ACOT13	ENSG00000112304	"Acyl-CoA thioesterase 13"	Q9NPJ3	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 76: Non-specific - Metabolism"	11.6	37.0	0.8	16405167.6	10598110.6	low	low
ACOT2	ENSG00000119673	"Acyl-CoA thioesterase 2"	P49753	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 76: Non-specific - Metabolism"	106.8	12.6	0.0		205157841.5	medium	medium
ACOT6	ENSG00000205669	"Acyl-CoA thioesterase 6"	Q3I5F7	"Evidence at protein level"				"Cluster 16: Liver & Kidney - Metabolism"	3.7	0.3	0.0				
ACOT7	ENSG00000097021	"Acyl-CoA thioesterase 7"	O00154	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 10: Brain - Synaptic signal transduction"	4.3	35.6	1.5	673423.5		low	low
ACOT8	ENSG00000101473	"Acyl-CoA thioesterase 8"	O14734	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 52: Non-specific - Cellular respiration"	28.0	16.5	1.8	387110.0	657778.1	medium	medium
ACOT9	ENSG00000123130	"Acyl-CoA thioesterase 9"	Q9Y305	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 35: Non-specific - Mixed function"	26.2	19.7	0.4	43924131.3	29501397.5	"not detected"	"not detected"
ACOX1	ENSG00000161533	"Acyl-CoA oxidase 1"	Q15067	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 45: Liver - Metabolism & Coagulation"	29.2	20.1	5.0	1085223.9	1656332.7	low	low
ACOX2	ENSG00000168306	"Acyl-CoA oxidase 2"	Q99424	"Evidence at protein level"				"Cluster 16: Liver & Kidney - Metabolism"	7.6	0.0	0.0	501275.3		medium	medium
ACOX3	ENSG00000087008	"Acyl-CoA oxidase 3, pristanoyl"	O15254	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 11: Esophagus - Basic cellular processes"	6.0	14.3	0.0			"not detected"	"not detected"
ACOXL	ENSG00000153093	"Acyl-CoA oxidase like"	Q9NUZ1	"Evidence at protein level"				"Cluster 22: Epididymis - Mixed function"	2.0	2.4	1.5				
ACP1	ENSG00000143727	"Acid phosphatase 1"	P24666	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 76: Non-specific - Metabolism"	71.2	103.2	97.7	32026847.3	87502665.0	low	low
ACP2	ENSG00000134575	"Acid phosphatase 2, lysosomal"	P11117	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 70: Non-specific - Protein processing"	13.8	7.1	1.7	526890.2			
ACP5	ENSG00000102575	"Acid phosphatase 5, tartrate resistant"	P13686	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 5: Spleen - Immune response"	1.3	0.9	6.7			"not detected"	"not detected"
ACP6	ENSG00000162836	"Acid phosphatase 6, lysophosphatidic"	Q9NPH0	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 3: Non-specific - Nuclear processes"	"Cluster 69: Parathyroid gland - Mixed function"	6.2	4.0	0.0				
ACSF2	ENSG00000167107	"Acyl-CoA synthetase family member 2"	Q96CM8	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 72: Kidney - Transmembrane transport"	39.5	2.6	0.2	5306115.3	22092636.9	"not detected"	"not detected"
ACSF3	ENSG00000176715	"Acyl-CoA synthetase family member 3"	Q4G176	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 77: Intestine - Digestion"	12.3	27.4	5.4	18648300.6	5764306.7		
ACSL1	ENSG00000151726	"Acyl-CoA synthetase long chain family member 1"	P33121	"Evidence at protein level"			"Cluster 4: Neutrophils - Degranulation"	"Cluster 45: Liver - Metabolism & Coagulation"	697.4	13.7	33.0	207766960.9	344345596.9	medium	medium
ACSL3	ENSG00000123983	"Acyl-CoA synthetase long chain family member 3"	O95573	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 69: Parathyroid gland - Mixed function"	19.7	96.5	5.3	1642413.9	3312381.6	high	high
ACSL4	ENSG00000068366	"Acyl-CoA synthetase long chain family member 4"	O60488	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	39.3	144.8	9.6	3376450.2		low	low
ACSL5	ENSG00000197142	"Acyl-CoA synthetase long chain family member 5"	Q9ULC5	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 77: Intestine - Digestion"	3.6	25.8	0.2	76438.0		"not detected"	"not detected"
ACSL6	ENSG00000164398	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 46: Brain & retina - Neuronal signaling"	1.3	0.0	0.7			low	low
ACSM5	ENSG00000183549	"Acyl-CoA synthetase medium chain family member 5"	Q6NUN0	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	13.0	0.0	0.0			medium	medium
ACSS1	ENSG00000154930	"Acyl-CoA synthetase short chain family member 1"	Q9NUB1	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 68: Non-specific - Basic cellular processes"	43.1	100.9	6.1	76963136.8	37591662.7	medium	medium
ACSS2	ENSG00000131069	"Acyl-CoA synthetase short chain family member 2"	Q9NR19	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 63: Non-specific - Basic cellular processes"	109.9	17.8	4.7	19269013.1	4436134.6	medium	medium
ACSS3	ENSG00000111058	"Acyl-CoA synthetase short chain family member 3"	Q9H6R3	"Evidence at protein level"			"Cluster 46: Basophils - Proteolysis"	"Cluster 16: Liver & Kidney - Metabolism"	3.4	0.3	0.2	5589381.1	352931.4	"not detected"	"not detected"
ACTA1	ENSG00000143632	"Actin alpha 1, skeletal muscle"	P68133	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 30: Skeletal muscle - Striated muscle contraction"	123974.2	0.0	0.0	7418716768.5	72244568857.8	high	high
ACTA2	ENSG00000107796	"Actin alpha 2, smooth muscle"	P62736	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 12: Smooth muscle tissue - ECM organization"	194.7	0.2	0.0			"not detected"	"not detected"
ACTB	ENSG00000075624	"Actin beta"	P60709	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 12: Smooth muscle tissue - ECM organization"	518.3	1085.7	335.4			medium	medium
ACTC1	ENSG00000159251	"Actin alpha cardiac muscle 1"	P68032	"Evidence at protein level"				"Cluster 35: Non-specific - Mixed function"	519.7	0.0	0.0			medium	medium
ACTG1	ENSG00000184009	"Actin gamma 1"	P63261	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 54: Non-specific - Ribosome"	321.6	119.7	25.3			medium	medium
ACTG2	ENSG00000163017	"Actin gamma 2, smooth muscle"	P63267	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 12: Smooth muscle tissue - ECM organization"	16.2	0.0	0.0	377511809.0	238718821.7	"not detected"	"not detected"
ACTL6A	ENSG00000136518	"Actin like 6A"	O96019	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 39: Testis - Nuclear processes"	11.9	83.7	6.8	3738110.5		high	high
ACTN1	ENSG00000072110	"Actinin alpha 1"	P12814	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	12.8	16.0	4.6	8192175.4	3135695940.6	medium	medium
ACTN2	ENSG00000077522	"Actinin alpha 2"	P35609	"Evidence at protein level"				"Cluster 62: Skeletal muscle - Muscle contraction"	1961.6	0.5	0.0	4978769946.2	22360593468.6	high	high
ACTN3	ENSG00000248746	"Actinin alpha 3"	Q08043	"Evidence at protein level"				"Cluster 30: Skeletal muscle - Striated muscle contraction"	1567.3	0.0	0.0	42766387.4	898200690.2		
ACTN4	ENSG00000130402	"Actinin alpha 4"	O43707	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 12: Smooth muscle tissue - ECM organization"	50.1	7.1	1.8	248286433.4	25795598.1	"not detected"	"not detected"
ACTR10	ENSG00000131966	"Actin related protein 10"	Q9NZ32	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 68: Non-specific - Basic cellular processes"	9.5	57.5	8.9	1095322.7	373352.2		
ACTR1A	ENSG00000138107	"Actin related protein 1A"	P61163	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 25: Non-specific - Basic cellular processes"	166.4	28.3	11.6	15353357.8	9922349.5	"not detected"	"not detected"
ACTR1B	ENSG00000115073	"Actin related protein 1B"	P42025	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Non-specific - Transcription"	81.4	13.9	0.1	6151402.2	1354083.5		
ACTR2	ENSG00000138071	"Actin related protein 2"	P61160	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 34: Lymphoid tissue - Adaptive immune response"	56.5	177.4	25.9	8183828.3	9483691.6	"not detected"	"not detected"
ACTR3	ENSG00000115091	"Actin related protein 3"	P61158	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 34: Lymphoid tissue - Adaptive immune response"	44.7	170.4	32.5	27998882.4	10725126.1	low	low
ACTR3B	ENSG00000133627	"Actin related protein 3B"	Q9P1U1	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 73: Brain - Neuronal signaling"	10.7	26.3	3.0			low	low
ACTR3C	ENSG00000106526	"Actin related protein 3C"	Q9C0K3	"Evidence at protein level"			"Cluster 34: B-cells - Unknown function"	"Cluster 69: Parathyroid gland - Mixed function"	1.3	7.8	0.1				
ACTR5	ENSG00000101442	"Actin related protein 5"	Q9H9F9	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 44: Bone marrow - Nuclear processes"	6.8	10.6	0.1	2011849.2		medium	medium
ACTR6	ENSG00000075089	"Actin related protein 6"	Q9GZN1	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 3: Oligodendrocytes - Myelination"	13.4	34.9	3.0	3572556.4		medium	medium
ACTR8	ENSG00000113812	"Actin related protein 8"	Q9H981	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 35: Non-specific - Mixed function"	8.5	11.5	0.2	361922.9			
ACVR1	ENSG00000115170	"Activin A receptor type 1"	Q04771	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 75: Ovary - Mixed function"	15.5	5.1	0.2			medium	medium
ACVR1B	ENSG00000135503	"Activin A receptor type 1B"	P36896	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 38: Non-specific - Basic cellular processes"	12.5	1.7	1.7			"not detected"	"not detected"
ACVR2A	ENSG00000121989	"Activin A receptor type 2A"	P27037	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 37: Skin - Keratinization"	16.4	5.9	1.7			medium	medium
ACVR2B	ENSG00000114739	"Activin A receptor type 2B"	Q13705	"Evidence at protein level"				"Cluster 25: Non-specific - Basic cellular processes"	5.6	6.1	1.5			"not detected"	"not detected"
ACVRL1	ENSG00000139567	"Activin A receptor like type 1"	P37023	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 14: Adipose tissue - Angiogenesis"	17.1	0.0	0.0	14066.7		"not detected"	"not detected"
ACY1	ENSG00000243989	"Aminoacylase 1"	Q03154	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	23.0	1.1	0.0	2887982.5	21342908.4	"not detected"	"not detected"
ACYP1	ENSG00000119640	"Acylphosphatase 1"	P07311	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 1: Choroid plexus - Transmembrane transport"	31.8	33.5	4.4	631086.0	5819632.7	"not detected"	"not detected"
ACYP2	ENSG00000170634	"Acylphosphatase 2"	P14621	"Evidence at protein level"			"Cluster 46: Basophils - Proteolysis"	"Cluster 25: Non-specific - Basic cellular processes"	191.3	42.4	1.7	13346436.3	286617869.4	medium	medium
ADA	ENSG00000196839	"Adenosine deaminase"	P00813	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 77: Intestine - Digestion"	5.1	12.5	0.2	8983059.6		"not detected"	"not detected"
ADA2	ENSG00000093072	"Adenosine deaminase 2"	Q9NZK5	"Evidence at protein level"	"Secreted to blood"	Enzyme	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 18: Lymphoid tissue - Immune response"	2.4	1.1	2.3				
ADAL	ENSG00000168803	"Adenosine deaminase like"	Q6DHV7	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 52: Non-specific - Cellular respiration"	19.0	21.1	0.0	417418.5	503669.3	low	low
ADAM10	ENSG00000137845	"ADAM metallopeptidase domain 10"	O14672	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 61: Non-specific - Transcription"	6.0	68.4	9.8	2365883.4		"not detected"	"not detected"
ADAM15	ENSG00000143537	"ADAM metallopeptidase domain 15"	Q13444	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 58: Skin - Keratinization"	21.7	6.7	0.5	352290.4		medium	medium
ADAM17	ENSG00000151694	"ADAM metallopeptidase domain 17"	P78536	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 43: Placenta - Pregnancy hormone signaling"	2.3	41.8	3.2	542922.4		medium	medium
ADAM19	ENSG00000135074	"ADAM metallopeptidase domain 19"	Q9H013	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 66: Lymphoid tissue - Immune response"	6.1	0.3	3.3				
ADAM22	ENSG00000008277	"ADAM metallopeptidase domain 22"	Q9P0K1	"Evidence at protein level"				"Cluster 27: Cerebellum - Synaptic function"	1.8	12.0	0.0				
ADAM23	ENSG00000114948	"ADAM metallopeptidase domain 23"	O75077	"Evidence at protein level"	"Secreted in brain"	"Cell adhesion"	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 69: Parathyroid gland - Mixed function"	10.4	0.0	0.0	922853.4		low	low
ADAM33	ENSG00000149451	"ADAM metallopeptidase domain 33"	Q9BZ11	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	6.3	0.0	0.0			low	low
ADAM8	ENSG00000151651	"ADAM metallopeptidase domain 8"	P78325	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 21: Neutrophils - Unknown function"	"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response"	1.1	0.9	0.4			"not detected"	"not detected"
ADAM9	ENSG00000168615	"ADAM metallopeptidase domain 9"	Q13443	"Evidence at protein level"	"Secreted - unknown location"	Enzyme	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 11: Esophagus - Basic cellular processes"	16.2	17.3	0.3	50280.3			
ADAMTS1	ENSG00000154734	"ADAM metallopeptidase with thrombospondin type 1 motif 1"	Q9UHI8	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme	"Cluster 15: NK-cells - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	57.0	2.2	0.2			"not detected"	"not detected"
ADAMTS10	ENSG00000142303	"ADAM metallopeptidase with thrombospondin type 1 motif 10"	Q9H324	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme		"Cluster 74: Non-specific - Signal transduction"	2.6	1.1	0.0			medium	medium
ADAMTS13	ENSG00000160323	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	Q76LX8	"Evidence at protein level"	"Secreted to blood"	"Blood coagulation"		"Cluster 31: Liver - Metabolism & Coagulation"	4.1	0.0	0.0			"not detected"	"not detected"
ADAMTS15	ENSG00000166106	"ADAM metallopeptidase with thrombospondin type 1 motif 15"	Q8TE58	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme		"Cluster 14: Adipose tissue - Angiogenesis"	1.6	0.0	0.0			"not detected"	"not detected"
ADAMTS17	ENSG00000140470	"ADAM metallopeptidase with thrombospondin type 1 motif 17"	Q8TE56	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme		"Cluster 70: Non-specific - Protein processing"	4.7	0.1	0.0				
ADAMTS2	ENSG00000087116	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	O95450	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme		"Cluster 14: Adipose tissue - Angiogenesis"	2.4	0.0	0.6			medium	medium
ADAMTS4	ENSG00000158859	"ADAM metallopeptidase with thrombospondin type 1 motif 4"	O75173	"Evidence at protein level"	"Secreted to extracellular matrix"	Enzyme	"Cluster 30: Non-specific - DNA binding"	"Cluster 14: Adipose tissue - Angiogenesis"	12.3	0.0	0.0			low	low
